DEBUG 2020-04-13 11:25:30,514 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 10 classes define auto mapping attributes
DEBUG 2020-04-13 11:25:30,514 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Models.TokenAuth.ExternalLoginProviderInfoModel
DEBUG 2020-04-13 11:25:30,529 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Users.Dto.CreateUserDto
DEBUG 2020-04-13 11:25:30,531 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Users.Dto.UserDto
DEBUG 2020-04-13 11:25:30,532 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Sessions.Dto.TenantLoginInfoDto
DEBUG 2020-04-13 11:25:30,532 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Sessions.Dto.UserLoginInfoDto
DEBUG 2020-04-13 11:25:30,532 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Roles.Dto.PermissionDto
DEBUG 2020-04-13 11:25:30,532 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.MultiTenancy.Dto.CreateTenantDto
DEBUG 2020-04-13 11:25:30,533 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.MultiTenancy.Dto.TenantDto
DEBUG 2020-04-13 11:25:30,533 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2020-04-13 11:25:30,533 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Mkspec.SpectrendsApi.Web.Models.Roles.EditRoleModalViewModel
INFO  2020-04-13 11:26:00,169 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,ja,zh-Hans
INFO  2020-04-13 11:26:39,741 [1    ] taProtection.KeyManagement.XmlKeyManager - User profile is available. Using 'C:\Users\marco_b0hr8ab\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
DEBUG 2020-04-13 11:26:39,920 [1    ] Abp.Modules.AbpModuleManager             - Shutting down has been started
DEBUG 2020-04-13 11:26:39,923 [1    ] Abp.BackgroundJobs.BackgroundJobManager  - Stop background worker: Castle.Proxies.BackgroundJobManagerProxy
DEBUG 2020-04-13 11:26:39,924 [1    ] , Culture=neutral, PublicKeyToken=null]] - Stop background worker: Abp.Authorization.Users.UserTokenExpirationWorker`2[[Mkspec.SpectrendsApi.MultiTenancy.Tenant, Mkspec.SpectrendsApi.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Mkspec.SpectrendsApi.Authorization.Users.User, Mkspec.SpectrendsApi.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]
DEBUG 2020-04-13 11:26:39,926 [1    ] Abp.BackgroundJobs.BackgroundJobManager  - WaitToStop background worker: Castle.Proxies.BackgroundJobManagerProxy
DEBUG 2020-04-13 11:26:39,926 [1    ] , Culture=neutral, PublicKeyToken=null]] - WaitToStop background worker: Abp.Authorization.Users.UserTokenExpirationWorker`2[[Mkspec.SpectrendsApi.MultiTenancy.Tenant, Mkspec.SpectrendsApi.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Mkspec.SpectrendsApi.Authorization.Users.User, Mkspec.SpectrendsApi.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]
DEBUG 2020-04-13 11:26:39,926 [1    ] Abp.Modules.AbpModuleManager             - Shutting down completed.
DEBUG 2020-04-13 11:27:23,742 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2020-04-13 11:27:23,927 [1    ] Abp.Modules.AbpModuleManager             - Found 15 ABP modules in total.
DEBUG 2020-04-13 11:27:23,992 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Mkspec.SpectrendsApi.Web.Startup.SpectrendsApiWebMvcModule, Mkspec.SpectrendsApi.Web.Mvc, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:23,997 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Mkspec.SpectrendsApi.SpectrendsApiWebCoreModule, Mkspec.SpectrendsApi.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:23,998 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Mkspec.SpectrendsApi.SpectrendsApiApplicationModule, Mkspec.SpectrendsApi.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:23,999 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Mkspec.SpectrendsApi.SpectrendsApiCoreModule, Mkspec.SpectrendsApi.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,002 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.ZeroCore, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,005 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,005 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,006 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,007 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Mkspec.SpectrendsApi.EntityFrameworkCore.SpectrendsApiEntityFrameworkModule, Mkspec.SpectrendsApi.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,008 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFrameworkCore.AbpZeroCoreEntityFrameworkCoreModule, Abp.ZeroCore.EntityFrameworkCore, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,009 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule, Abp.EntityFrameworkCore, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,010 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,012 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.AbpAspNetCoreModule, Abp.AspNetCore, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,013 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,015 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule, Abp.AspNetCore.SignalR, Version=5.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2020-04-13 11:27:24,023 [1    ] Abp.Modules.AbpModuleManager             - 15 modules loaded.
DEBUG 2020-04-13 11:27:24,342 [1    ] o.Configuration.LanguageManagementConfig - Converted Abp (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2020-04-13 11:27:24,343 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2020-04-13 11:27:24,343 [1    ] o.Configuration.LanguageManagementConfig - Converted SpectrendsApi (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2020-04-13 11:27:24,343 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpWeb (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
